input,expected_output,expected_articles
Warum musste der Deutsche Tschechien innerhalb von sieben Tagen verlassen?,"Der Deutsche musste Tschechien innerhalb von sieben Tagen verlassen, weil er auf der Liste unerwünschter Personen stand.",2025-02-28/ausland/article_8.md
"Wer hat angekündigt, in Berufung zu gehen?","Marine Le Pen hat angekündigt, in Berufung zu gehen.",2025-03-31/ausland/article_17.md
Was hat das Bundesverfassungsgericht bezüglich der Sondersitzung des Bundestages entschieden?,"Das Bundesverfassungsgericht hat entschieden, dass der Bundestag am Dienstag in alter Besetzung zusammenkommen darf, da die Wahlperiode erst durch den Zusammentritt des neuen Bundestages beendet wird.",2025-03-14/inland/article_11.md
Wie hat sich die Inflation in Deutschland im Juni verändert?,"Die Inflation in Deutschland hat im Juni überraschend nachgelassen, Waren und Dienstleistungen kosteten durchschnittlich 2,0 Prozent mehr als ein Jahr zuvor.",2025-06-30/wirtschaft/article_4.md
Wer sind die Verhandler für die Union bei den Sondierungen?,"Für die Union sondieren CDU-Chef Friedrich Merz, der CSU-Vorsitzende Markus Söder sowie die Generalsekretäre Carsten Linnemann (CDU) und Martin Huber (CSU). Außerdem sitzen am Tisch: Unions-Fraktionsgeschäftsführer Thorsten Frei, CSU-Landesgruppenchef Alexander Dobrindt, der sächsische Ministerpräsident Michael Kretschmer, die stellvertretende CDU-Vorsitzende Karin Prien und die CSU-Politikerin Dorothee Bär.",2025-02-28/inland/article_3.md
Wie viel Wasser war im Stausee nach dem Gletscherabbruch in der Schweiz ursprünglich vorhanden?,Die Wassermenge im See habe nach Schätzungen zuvor rund eine Million Kubikmeter Wasser betragen.,2025-05-31/ausland/article_14.md|2025-05-31/ausland/article_12.md
Wie viele neue Jobs wurden im Dezember in den USA geschaffen?,Im Dezember wurden in den Vereinigten Staaten 256.000 neue Jobs geschaffen.,2025-01-20/wirtschaft/article_4.md
"Welche Eigenschaften lobte Merz an der Person, die das Amt im Gesundheitssektor übernehmen soll?","Merz lobte an ihr die Eigenschaften 'persönliche Stabilität, ein klares politisches Konzept und eine gute Orientierung'.",2025-05-06/inland/article_1.md
Wie viele Menschen wurden laut der indischen Regierung in der Kaschmir-Region getötet?,Laut der indischen Regierung wurden 16 Menschen in der Kaschmir-Region auf indischer Seite getötet.,2025-05-08/ausland/article_17.md
Wer gratulierte dem neuen Papst und äußerte die Hoffnung auf Unterstützung im russischen Angriffskrieg?,Der ukrainische Präsident Wolodymyr Selenskyj gratulierte dem neuen Papst und äußerte die Hoffnung auf eine fortdauernde Unterstützung des Vatikans im russischen Angriffskrieg.,2025-05-08/ausland/article_1.md
Wie viele Klagen gegen Fluggesellschaften wurden im Jahr 2024 beim Amtsgericht Köln eingereicht?,Mit knapp 41.300 Verfahren gab es 2024 beim Amtsgericht Köln das höchste Aufkommen.,2025-01-31/wirtschaft/article_5.md
"Wer kontrolliert die See-, Luft- und Landzugänge zum Gazastreifen?","Die See-, Luft- und Landzugänge zum Gazastreifen kontrollieren Israel und Ägypten.",2025-05-06/ausland/article_6.md
Wie hoch ist der aktuelle Wert von Bitcoin laut dem Artikel?,Die Kryptowährung ist heute über die Marke von 100.000 Dollar gestiegen.,2025-05-08/wirtschaft/article_4.md
Wo übernachten und speisen die Kardinäle während der Wahl?,"Die Kardinäle übernachten und speisen im Gästehaus des Vatikans, der Casa Santa Marta, sowie einem älteren Anbau.",2025-05-08/ausland/article_5.md
Wie viele Beschäftigte beteiligten sich am Warnstreik der Deutschen Post am 28. Januar 2025?,Laut Gewerkschaft ver.di beteiligten sich 8.000 Beschäftigte in allen Bundesländern an dem eintägigen Warnstreik.,2025-01-28/wirtschaft/article_7.md|2025-01-28/wirtschaft/article_11.md|2025-02-28/wirtschaft/article_5.md
Was bedeutet schwarzer Rauch bei der Papstwahl?,"Schwarzer Rauch bedeutet, es ist noch niemand gewählt.",2025-05-08/ausland/article_5.md
Wie hoch darf UniCredit ihren Anteil an der Commerzbank erhöhen?,"UniCredit darf ihren Anteil an der Commerzbank auf maximal 29,9 Prozent erhöhen.",2025-03-14/wirtschaft/article_0.md
Welche Region in Myanmar ist besonders schwer von dem Erdbeben betroffen?,Die Region Sagaing ist besonders schwer betroffen.,2025-03-31/ausland/article_18.md
"Mit welchen Parteien könnte die Union zusammenarbeiten, um das Zustrombegrenzungsgesetz durchzusetzen?","Die Union könnte mit den Stimmen von AfD, BSW und FDP zusammenarbeiten, um das Zustrombegrenzungsgesetz durchzusetzen.",2025-01-28/inland/article_0.md
Warum wurden Mitarbeiter des US-Justizministeriums entlassen?,"Die Mitarbeiter wurden entlassen, weil der kommissarische Justizminister James McHenry Zweifel daran hatte, dass sie bei der getreuen Umsetzung der Agenda des Präsidenten helfen.",2025-01-28/ausland/article_0.md
