input,expected_output,expected_articles
Welche Person hat von der Aufhebung der EU-Sanktionen profitiert und soll enge Verbindungen zu Putin haben?,Der Oligarch Wjatscheslaw Mosche Kantor hat von der Aufhebung der EU-Sanktionen profitiert und soll enge Verbindungen zu Putin haben.,2025-03-14/ausland/article_6.md
Warum will Dänemark seine Präsenz auf der Arktisinsel stärken?,"Dänemark will seine Präsenz auf der Arktisinsel stärken, um Donald Trump ein Gefühl des Siegs zu geben und hofft, dass Trump das zum Anlass nimmt zu sagen: Guckt mal, was ich aus dieser ganzen Grönland-Geschichte rausgeholt habe.",2025-01-28/ausland/article_6.md
Welche Temperaturen werden in Minnesota während der arktischen Kältewelle erwartet?,Die Temperaturen in Minnesota sollen von minus 34 Grad auf minus 48 Grad sinken.,2025-01-20/ausland/article_14.md
Wie viel Wachstum prognostiziert Oppenheimer für den S&P 500 im laufenden Börsenjahr?,"Oppenheimer rechnet nur noch mit einem mageren Plus von 1,2 Prozent im laufenden Börsenjahr.",2025-04-30/wirtschaft/article_10.md
Was sagt das Kiel Institut für Weltwirtschaft über die Importschwemme chinesischer Waren nach Deutschland?,Deutschland droht durch den Handelskonflikt nach Ansicht des Kiel Instituts für Weltwirtschaft (IfW) keine Importschwemme chinesischer Waren. Die meisten Güter dürften in China selbst landen.,2025-04-30/wirtschaft/article_3.md
Warum wurde Tatalu im Iran inhaftiert?,"Ihm wurden unter anderem 'Ermutigung der jungen Generation zur Prostitution', Verbreitung von 'Propaganda' gegen die Islamische Republik und Veröffentlichung 'obszöner Inhalte' vorgeworfen.",2025-01-20/ausland/article_9.md
Welche Position hatte Kristi Noem von 2011 bis 2019 inne?,Mitglied des Repräsentantenhauses für South Dakota.,2025-01-20/ausland/article_8.md
Wie lange werden die Exporterwartungen von den Unternehmen mehrheitlich negativ eingeschätzt?,Seit mittlerweile 20 Monaten werden die Exporterwartungen von den Unternehmen mehrheitlich negativ eingeschätzt.,2025-01-28/wirtschaft/article_6.md
Was hat die AfD zusätzlich zu Klage- und Eilantrag beantragt?,Die AfD hat zusätzlich zu Klage- und Eilantrag noch einen sogenannten Hängebeschluss beantragt.,2025-05-08/inland/article_5.md
Welche Partei fordert eine Anhebung des Mindestlohns auf 15 Euro?,Die SPD fordert eine Anhebung auf 15 Euro spätestens ab 2026.,2025-02-28/inland/article_6.md
Welche Sprachen spricht Prevost?,Prevost spricht Spanisch und Italienisch mit einem leichten englischen Akzent.,2025-05-08/ausland/article_8.md|2025-05-08/ausland/article_16.md
Wie hat sich der DAX im Februar entwickelt?,"Den Februar beendete der deutsche Leitindex mit einem Anstieg von 3,8 Prozent.",2025-02-28/wirtschaft/article_11.md
Was ist der aktuelle Gesundheitszustand von Papst Franziskus laut dem Vatikan?,Papst Franziskus hat einen Rückschlag erlitten und musste wegen einer Verkrampfung der Atemwege mechanisch beatmet werden. Die Prognose bleibt daher verhalten.,2025-02-28/ausland/article_0.md
